week,title,url,thumbnail,author,summary,genre,age,company
월요일,스윙 배이비,https://www.lezhin.com/ko/comic/swingbaeevy,https://ccdn.lezhin.com/v2/comics/6147621996789760/images/wide.webp?updated=1634537597949&width=277,무단,"#오피스물#리맨물#댕댕이공#금수저공#돌+I수#내일이없수
어느날 ＂윤서오＂라는 남자가 낙하산을 타고 하늘에서 뚝 떨어졌다.
만년 주니어 배이비(베이비)는 주니어 딱지를 떼기 위해
게임〈보스 메뉴얼〉대로 윤서오(존슨)를 공략하는데...
그는 배이비의 승진 동아줄이 될 수 있을까?",BL,15세 이용가,레진코믹스
월요일,첫걸음을 내딛는 방법,https://www.lezhin.com/ko/comic/first_step,https://ccdn.lezhin.com/v2/comics/4669144063868928/images/wide.webp?updated=1634194303681&width=277,정선우,"어릴 적 누군가가 무심코 던진 한 마디에 상처를 받아 말더듬이가 된 재하와 히키코모리가 된 영우.
각기 다른 아픔을 가지고 있는 두 사람. 과연 두 사람은 서로를 통해 상처를 치유할 수 있을까?",BL,전체 이용가,레진코믹스
월요일,바른쀼생활,https://www.lezhin.com/ko/comic/20_nov,https://ccdn.lezhin.com/v2/comics/4566161041522688/images/wide.webp?updated=1633247964260&width=277,윤박,"원룸에서 츄리닝 차림으로 한 프러포즈, 그리고 결혼..? 스물일곱 동갑내기의 바른(?) 부부생활! 철없는 남편, 그런 그를 거친 생각과 불안한 눈빛으로 지켜보는 아내님! 두 사람의 요절복통 신혼일기, <바른쀼생활>!",일상,15세 이용가,레진코믹스
월요일,바퀴멘터리,https://www.lezhin.com/ko/comic/baquimentary,https://ccdn.lezhin.com/v2/comics/6185833387393024/images/wide.webp?updated=1626417739320&width=277,박바퀴,제가 이러고 삽니다.,일상,15세 이용가,레진코믹스
월요일,커튼콜 아래그랑,https://www.lezhin.com/ko/comic/curtain_call,https://ccdn.lezhin.com/v2/comics/5/images/wide.webp?updated=1602829186999&width=277,바싹탄숯,"신의 능력 '커튼콜'을 가진 사설 심부름꾼 비기난, 책을 먹으며 식신을 다루는 '지식인' 스콘, 말괄량이 의사 콜롬보, 상냥하고 잔혹한 악마 이오나들의 모험과 배후에 숨겨진 천사와 악마의 음모가 장대하게 펼쳐지는 판타지 대 서사시!",판타지,15세 이용가,레진코믹스
월요일,꼴데툰 2021,https://www.lezhin.com/ko/comic/ggtoon2021,https://ccdn.lezhin.com/v2/comics/6690294575988736/images/wide.webp?updated=1630634519726&width=277,샤다라빠,"지난 몇 년 간 꿇었던 건 추신수 아니 추진력을 얻기 위함이었다!
보고 있는가, 추신수.. 여기 자네보다 뛰어난 인재가 있네. 무려 둘이나..
투타를 책임질 김진욱과 나승엽은 꼴데의 환장 대모험(?)을
아름다운 역사로 바꿔줄 것인가..!
올해도 주6회 등판하는 웹툰계 슈퍼 세이브 야구만화!",개그,15세 이용가,레진코믹스
월요일,BJ 알렉스[개정판],https://www.lezhin.com/ko/comic/bjalex_15,https://ccdn.lezhin.com/v2/comics/5367962326859776/images/wide.webp?updated=1605248505358&width=277,밍과,"[개정판]
해당 작품은 <BJ 알렉스> 성인 버전의 일부 장면을 수정한 개정판입니다. 방송 전문 bj 알렉스에게 푹 빠진 진성팬 남동균은 그의 방송을 보며 홀로 그와 함께하는 상상을 하곤 하는데... 어느 날 인기 많은 엘리트 학생회장 안지원에게서 알렉스와 똑같은 나비 무늬 반점을 발견한다면?? 상상이 현실로 이루어질 수 있을까?",BL,15세 이용가,레진코믹스
월요일,안나 이야기,https://www.lezhin.com/ko/comic/story_of_anna,https://ccdn.lezhin.com/v2/comics/4907714540535808/images/wide.webp?updated=1622686784640&width=277,김지효,안나는 대장간에서 검 만드는 일을 한다. 어느 날 단골 손님인 알렉스를 숲속 도적떼로부터 구한 이후 그녀의 평범한 일상이 깨지게 되는데…!,로맨스,전체 이용가,레진코믹스
월요일,citrus 시트러스,https://www.lezhin.com/ko/comic/citrus,https://ccdn.lezhin.com/v2/comics/4520115655147520/images/wide.webp?updated=1627269359550&width=277,사부로우타,"외모는 영락없이 노는 여고생이지만 한 번도 사랑을 해본 적 없는 유즈는, 부모님의 재혼으로 전학가게 된다.남자친구가 안 생겨! 하고 불만이 폭발한 전학 첫날, 검은 머리 미인인 학생회장 메이와 최악의 방식으로 만나게 된다. 그후 우연히 메이와 훈남 담임선생님의 키스 장면을 목격하고 마음과는 반대로 그 장면을 머리에서 지울 수 없는 유즈. 게다가 학생회장과 의자매가 되어 같은 방에서 생활하게 되는데…?!
정반대인 두 여고생이 서로에게 반발하면서도 이끌린다. 자매의 love affair, 시작!",백합,15세 이용가,레진코믹스
월요일,아스란히,https://www.lezhin.com/ko/comic/dimly,https://ccdn.lezhin.com/v2/comics/5330738698911744/images/wide.webp?updated=1630476569406&width=277,포카,"전쟁 중에 화살을 맞은 주인공 '휘운'은 자신의 죽음 앞에서 좌절하는 '소하'를 남겨두고 눈을 감는다. 그러나 죽은 줄만 알았던 휘운은 완전히 다른 몸으로 다른 장소에서 눈을 뜨고, 혼란스러워하는 그의 앞에 도깨비 '하랑’이 나타난다. 그를 따라 찾아간 도깨비 마을에서 낯선 환경에 적응해 가던 휘운은 급기야 '도깨비 왕’을 만나게 되는데...!",BL,15세 이용가,레진코믹스
