순위,제목,저자,출판사,발행일,가격,할인가,URL
1,트렌드 코리아 2022,"김난도,전미영,최지혜,이향은,이준영,이수진,서유현,권정윤,한다혜,서울대학교 생활과학연구소 소비트렌드분석센터 저 외 1명",미래의창,2021년 10월,"18,000원","16,200원",http://yes24.com/Product/Goods/103737985
2,갯마을 차차차 포토에세이,스튜디오드래곤 제작,북로그컴퍼니,2021년 11월,"28,000원","25,200원",http://yes24.com/Product/Goods/104255924
3,설민석의 한국사 대모험 18,"설민석,스토리박스 글/정현희 그림/강석화 감수",아이휴먼,2021년 10월,"12,000원","10,800원",http://yes24.com/Product/Goods/104122285
4,달러구트 꿈 백화점 2,이미예 저,팩토리나인,2021년 07월,"13,800원","12,420원",http://yes24.com/Product/Goods/102789938
5,갯마을 차차차 2,신하은 저,북로그컴퍼니,2021년 11월,"18,000원","16,200원",http://yes24.com/Product/Goods/104105224
6,갯마을 차차차 1,신하은 저,북로그컴퍼니,2021년 11월,"18,000원","16,200원",http://yes24.com/Product/Goods/104105212
7,달러구트 꿈 백화점,이미예 저,팩토리나인,2020년 07월,"13,800원","12,420원",http://yes24.com/Product/Goods/91065309
8,그리스 로마 신화 25,박시연 글/최우빈 그림/김헌 감수,아울북,2021년 10월,"14,000원","12,600원",http://yes24.com/Product/Goods/104194183
9,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",이치조 미사키 저/권영주 역,모모,2021년 06월,"14,000원","12,600원",http://yes24.com/Product/Goods/102360203
10,4~7세 보다 중요한 시기는 없습니다,이임숙 저,카시오페아,2021년 08월,"16,000원","14,400원",http://yes24.com/Product/Goods/102815649
11,그냥 하지 말라,송길영 저,북스톤,2021년 10월,"17,000원","15,300원",http://yes24.com/Product/Goods/103841300
12,설민석의 세계사 대모험 10,"설민석,김정욱 글/박성일 그림/원태준 감수",단꿈아이,2021년 09월,"12,000원","10,800원",http://yes24.com/Product/Goods/103967136
13,인생은 실전이다,"신영준,주언규(신사임당) 저",상상스퀘어,2021년 09월,"18,500원","16,650원",http://yes24.com/Product/Goods/103598738
14,괴수 8호 4 더블특장판 ,마츠모토 나오야 글그림/유유리 역,서울미디어코믹스(서울문화사),2021년 10월,"5,500원","4,950원",http://yes24.com/Product/Goods/104229655
15,미드나잇 라이브러리,매트 헤이그 저/노진선 역,인플루엔셜,2021년 04월,"15,800원","14,220원",http://yes24.com/Product/Goods/99534783
16,불편한 편의점,김호연 저,나무옆의자,2021년 04월,"14,000원","12,600원",http://yes24.com/Product/Goods/99308021
17,지금은 나만의 시간입니다,김유진 저,토네이도,2021년 10월,"15,000원","13,500원",http://yes24.com/Product/Goods/103981730
